workflow	software	version	source
bulk_RNAseq	cutadapt	4.1	manuscript Methods
bulk_RNAseq	Bowtie2	2.2.5	manuscript Methods
bulk_RNAseq	STAR	2.7.10a	manuscript Methods
bulk_RNAseq	DESeq2	1.30.1	manuscript Methods
bulk_RNAseq	WebGestaltR	0.4.5	manuscript Methods
bulk_RNAseq	pheatmap	1.0.12	manuscript Methods
bulk_RNAseq	karyoploteR	1.20.3	manuscript Methods
bulk_RNAseq	scipy	1.7.2	manuscript Methods
bulk_RNAseq	statsmodels	0.13.1	manuscript Methods
scRNAseq	Cell Ranger	6.1.2	manuscript Methods
scRNAseq	Python	3.7.7	QC notebook / pyvenv.cfg
scRNAseq	Scanpy	1.9.1	manuscript Methods
scRNAseq	R	4.2.2	trajectory script comment
scRNAseq	Seurat	4.1.0	manuscript Methods
scRNAseq	destiny	3.4.0	manuscript Methods
scRNAseq	slingshot	2.8.0	manuscript Methods
scRNAseq	condiments	1.6.0	manuscript Methods
scRNAseq	tradeSeq	1.8.0	manuscript Methods
scRNAseq	scry	1.6.0	manuscript Methods
scRNAseq	gprofiler2	0.2.1	manuscript Methods
scRNAseq	limma	3.46.0	manuscript Methods
scRNAseq	kb_python	0.27.3	manuscript Methods
scRNAseq	scvelo	0.2.5	manuscript Methods
scRNAseq	cellrank	1.5.1	manuscript Methods
4fSAMMYseq	Nextflow	24.10.4	analysis nextflow.log
4fSAMMYseq	nf-core/sammyseq	fa6f6ffeb3 (dev)	analysis nextflow.log
4fSAMMYseq	R	4.4.2	manuscript Methods
4fSAMMYseq	Gviz	1.50.0	manuscript Methods
4fSAMMYseq	rtracklayer	1.66.0	manuscript Methods
4fSAMMYseq	gprofiler2	0.2.4	manuscript Methods
4fSAMMYseq	FastQC	0.12.1	manuscript Methods
4fSAMMYseq	MultiQC	1.31	manuscript Methods
