gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	Gnai3	1996.21935123148	-0.317433301344421	0.0736182099903153	1.25124385620381e-05	8.58377581353021e-05
ENSMUSG00000000028	Cdc45	232.523534911696	-0.103840588883784	0.137512321145057	0.429361965570535	0.601863126630972
ENSMUSG00000000031	H19	27160.6896600344	-3.64937011550124	0.0875556258468476	0	0
ENSMUSG00000000037	Scml2	99.8549073929968	1.41986520689708	0.224070990150891	2.95055301286501e-11	4.42833636127956e-10
ENSMUSG00000000056	Narf	241.786437867839	-0.400411666560181	0.138869952758717	0.00250180845499884	0.00994250761699763
ENSMUSG00000000058	Cav2	27.0237339350878	0.94296103155221	0.433826735675588	0.00451069528471362	0.0165006072073858
ENSMUSG00000000078	Klf6	2133.0800218504	-0.447826550973442	0.0809851395385698	1.94105423934943e-08	2.05691200588528e-07
ENSMUSG00000000085	Scmh1	191.869876363933	-0.152655059921446	0.145649377409968	0.271100379919906	0.443821124675062
ENSMUSG00000000088	Cox5a	513.845329100026	-0.0814235467361013	0.106662388143916	0.433451512277469	0.605150675540548
ENSMUSG00000000093	Tbx2	10.7269994800026	0.885386253147153	0.669005665588009	0.0234629543141129	0.0664050177230463
ENSMUSG00000000094	Tbx4	16.6063590467012	1.31173843393483	0.534475539418528	0.00143423147039878	0.00613306679365638
ENSMUSG00000000120	Ngfr	51.5208672449091	0.777747590140289	0.278832201167707	0.00138028018911996	0.00592675000991833
ENSMUSG00000000125	Wnt3	275.998707152457	1.75792158898902	0.143500941604747	1.49699923024194e-35	1.10646407540686e-33
ENSMUSG00000000126	Wnt9a	123.594176524007	-0.322059580514188	0.177687938448454	0.0504321794070124	0.123067336541632
ENSMUSG00000000127	Fer	202.99726885991	-0.417273694676926	0.142818772275198	0.00214935962544397	0.00870636041813065
ENSMUSG00000000131	Xpo6	1634.8277751107	0.156964884667354	0.0793302253914333	0.0448337962911335	0.112450519875461
ENSMUSG00000000134	Tfe3	896.834319434384	-0.22590999003734	0.0893735717607715	0.00997448823290472	0.0326779181443364
