gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	Gnai3	623.500578682828	-0.293173158741204	0.099537715661702	0.00194979443322651	0.0141086843120359
ENSMUSG00000000028	Cdc45	320.823429346417	0.165903901963666	0.116127593240153	0.126940533775369	0.328293776637349
ENSMUSG00000000031	H19	128.277634146809	-2.29828768197509	0.19643897158436	7.09532138701816e-33	1.80266212889862e-30
ENSMUSG00000000037	Scml2	79.1336213757918	0.285532116315434	0.204414869771885	0.0864774463156223	0.252959384757733
ENSMUSG00000000056	Narf	91.6971526616598	0.115750388166451	0.181944903148098	0.450892354307718	0.688183753509042
ENSMUSG00000000078	Klf6	282.271640603738	0.176774179104867	0.131630141760595	0.143658520397154	0.354790661545572
ENSMUSG00000000085	Scmh1	224.05157035262	0.007804795959164	0.127874334493682	0.945242364152086	0.977264245229673
ENSMUSG00000000088	Cox5a	927.338382639571	0.0274395784827883	0.0964908225630359	0.767373266768285	0.894709827206671
ENSMUSG00000000093	Tbx2	6.77268966426489	0.086149603651823	0.315613068967103	0.513503262583633	0.738003330385573
ENSMUSG00000000094	Tbx4	17.1091408393374	-3.5329826275572	0.659014495325241	6.07925529375114e-09	1.82560150528669e-07
ENSMUSG00000000120	Ngfr	138.744442731484	1.26949473544693	0.187663580413108	1.24058825504453e-12	6.46803114340153e-11
ENSMUSG00000000125	Wnt3	2.59398244692128	-0.0674550046222073	0.330869879168739	0.449338123167945	NA
ENSMUSG00000000126	Wnt9a	9.1057180140344	-0.0730435007073795	0.301949651564969	0.608078855137775	0.803032375394977
ENSMUSG00000000127	Fer	164.980749668305	0.36907265366023	0.172131489888802	0.0137801717221012	0.0669800876355759
ENSMUSG00000000131	Xpo6	1039.88360875456	0.250159606866771	0.0861215212646813	0.00256507781157284	0.0176057613430681
ENSMUSG00000000134	Tfe3	699.042744042913	0.218892897157411	0.0971221959718085	0.0183402560916375	0.083144471304791
ENSMUSG00000000142	Axin2	115.360293899605	0.972638728617341	0.207629106553986	2.90777190154856e-07	6.39310399123436e-06
ENSMUSG00000000148	Brat1	103.399759001859	0.0334866593568372	0.17453392229619	0.823263470984518	0.923093178044006
ENSMUSG00000000149	Gna12	356.349650447173	-0.209456824733317	0.115723789541993	0.0527879774081874	0.181042289778326
ENSMUSG00000000154	Slc22a18	2.16464874867224	-0.0226981238419966	0.324417592453948	0.777093925404582	NA
